id,name,code,parent_id/id,type,user_type/id,reconcile
0,Chart of Account – Fofo,0,,View,account.data_account_type_view,FALSE
1,Statement of Financial Position,1,0,View,account.data_account_type_view,FALSE
100000,Asset,100000,1,View,account.account_type_asset_view1,FALSE
110000,Current Asset,110000,100000,View,account.account_type_asset_view1,FALSE
111000,Cash and Cash Equivalent,111000,110000,View,account.account_type_asset_view1,FALSE
111100,Cash,111100,111000,View,account.account_type_asset_view1,FALSE
111101,Cash on hand,111101,111100,Liquidity,account.data_account_type_asset,FALSE
111102,Petty Cash ,111102,111100,Liquidity,account.data_account_type_asset,FALSE
111200,Cheque,111200,111000,Liquidity,account.data_account_type_asset,FALSE
111300,Bank,111300,111000,Liquidity,account.data_account_type_asset,FALSE
112000,Account Receivables,112000,110000,View,account.account_type_asset_view1,FALSE
112100,Account Receivables,112100,112000,Receivable,account.data_account_type_receivable,TRUE
112200,Allowance for doubtful account,112200,112000,Regular,account.data_account_type_asset,FALSE
113000,Inventory,113000,110000,Regular,account.data_account_type_asset,FALSE
114000,Short term Investment,114000,110000,Regular,account.data_account_type_asset,FALSE
115000,Prepaid Expense,115000,110000,Regular,account.data_account_type_asset,FALSE
116000,Other Current Asset,116000,110000,Regular,account.data_account_type_asset,FALSE
116100,Input Vat,116100,116000,Regular,account.data_account_type_asset,FALSE
117000,Note Receivable,117000,110000,Regular,account.data_account_type_asset,FALSE
120000,Fixed Asset,120000,100000,View,account.account_type_asset_view1,FALSE
121000,PP&E,121000,120000,View,account.account_type_asset_view1,FALSE
121100,Warehouse ,121100,121000,Regular,account.data_account_type_asset,FALSE
121200,Vehicle,121200,121000,Regular,account.data_account_type_asset,FALSE
121300,Computer,121300,121000,Regular,account.data_account_type_asset,FALSE
121400,Software,121400,121000,Regular,account.data_account_type_asset,FALSE
122000,Accumulated Depreciation,122000,120000,View,account.account_type_asset_view1,FALSE
122100,Accum. Depre. Warehouse ,122100,122000,Regular,account.data_account_type_asset,FALSE
122200,Accum. Depre. Vehicle,122200,122000,Regular,account.data_account_type_asset,FALSE
122300,Accum. Depre. Computer,122300,122000,Regular,account.data_account_type_asset,FALSE
