name	code	parent_id/id	type	user_type/id	reconcile
Chart of Account – Sing Loey Yang Co., Ltd.	0		View	Root/View	FALSE
Statement of Financial Position	1	0	View	View	FALSE
Asset	100000	1	View	Asset	FALSE
Current Asset	110000	100000	View	Asset	FALSE
Cash and Cash Equivalent	111000	110000	View	Asset	FALSE
Cash	111100	111000	View	Asset	FALSE
Cash on hand	111101	111100	Liquidity	Asset	FALSE
Petty Cash 	111102	111100	Liquidity	Asset	FALSE
Cheque	111200	111000	Liquidity	Asset	FALSE
Bank	111300	111000	Liquidity	Asset	FALSE
Account Receivables	112000	110000	View	Asset	FALSE
Account Receivables	112100	112000	Receivable	Asset	TRUE
Allowance for doubtful account	112200	112000	Regular	Asset	FALSE
Inventory	113000	110000	Regular	Asset	FALSE
Short term Investment	114000	110000	Regular	Asset	FALSE
Prepaid Expense	115000	110000	Regular	Asset	FALSE
Other Current Asset	116000	110000	Regular	Asset	FALSE
Input Vat	116100	116000	Regular	Asset	FALSE
Note Receivable	117000	110000	Regular	Asset	FALSE
Fixed Asset	120000	100000	View	Asset	FALSE
PP&E	121000	120000	View	Asset	FALSE
Warehouse 	121100	121000	Regular	Asset	FALSE
Vehicle	121200	121000	Regular	Asset	FALSE
Computer	121300	121000	Regular	Asset	FALSE
Software	121400	121000	Regular	Asset	FALSE
Accumulated Depreciation	122000	120000	View	Asset	FALSE
Accum. Depre. Warehouse 	122100	122000	Regular	Asset	FALSE
Accum. Depre. Vehicle	122200	122000	Regular	Asset	FALSE
Accum. Depre. Computer	122300	122000	Regular	Asset	FALSE
Accum. Depre. Software	122400	122000	Regular	Asset	FALSE
Land	123000	120000	Regular	Asset	FALSE
Long term investment	124000	120000	Regular	Asset	FALSE
Other Non Current Asset	125000	120000	Regular	Asset	FALSE
Liability	200000	1	View	Liabilities	FALSE
Current Liability	210000	200000	View	Liabilities	FALSE
Account Payable	211000	210000	Payable	Liabilities	TRUE
Short Term Debt	212000	210000	Regular	Liabilities	FALSE
Salary Payable	213000	210000	Regular	Liabilities	FALSE
Dividend Payable	214000	210000	Regular	Liabilities	FALSE
Tax Payable	215000	210000	Regular	Liabilities	FALSE
Current Portion of Long-term Debt	216000	210000	Regular	Liabilities	FALSE
Note Payable (CL)	217000	210000	Regular	Liabilities	FALSE
Other Current liability	218000	210000	Regular	Liabilities	FALSE
Output Vat	218100	218000	Regular	Liabilities	FALSE
Withholding tax	218200	218000	Regular	Liabilities	FALSE
Non Current Liability	220000	200000	View	Liabilities	FALSE
Note Payable (NCL)	221000	220000	Regular	Liabilities	FALSE
Loan Payable	222000	220000	Regular	Liabilities	FALSE
Other Non Current Liability	223000	220000	Regular	Liabilities	FALSE
Owner's Equity	300000	1	View	Equity	FALSE
Common Stock	310000	300000	Regular	Equity	FALSE
Capital	320000	300000	Regular	Equity	FALSE
Retained Earning 	330000	300000	Regular	Equity	FALSE
Net Income	331000	330000	Regular	Equity	FALSE
Dividend	332000	330000	Regular	Equity	FALSE
Statement of Income	2	0	View	View	FALSE
Operating Revenues	400000	2	View	Revenue	FALSE
Sales Revenue	410000	400000	View	Revenue	FALSE
Sales Revenue	411000	410000	Regular	Revenue	FALSE
Sales Return and Allowance	412000	410000	Regular	Revenue	FALSE
Sales Discount	413000	410000	Regular	Revenue	FALSE
Other Revenue	420000	400000	View	Revenue	FALSE
Interest Revenue	420100	420000	Regular	Revenue	FALSE
Dividend Revenue	420200	420000	Regular	Revenue	FALSE
Gain/(Loss) on Sale of Financial Asset	420300	420000	Regular	Revenue	FALSE
