id,name,location_id/id,date,filter,line_ids/product_id,line_ids/product_qty,line_ids/product_uom_id,line_ids/location_id/id
stock_inventory_1,Stock Count 31 Oct 15,stock.stock_location_stock,11/16/15 12:00 AM,partial,YH-07-0703,8,Unit(s),stock.stock_location_stock
,,,,,SG250,1,Unit(s),stock.stock_location_stock
,,,,,SG275,0,Unit(s),stock.stock_location_stock
,,,,,SG275A,3,Unit(s),stock.stock_location_stock
,,,,,CG102,7,Unit(s),stock.stock_location_stock
,,,,,CG101,12,Unit(s),stock.stock_location_stock
,,,,,CN101,67,Unit(s),stock.stock_location_stock
,,,,,EC05D101,258,Unit(s),stock.stock_location_stock
,,,,,EC05D102,0,Unit(s),stock.stock_location_stock
,,,,,EC030314,70,Unit(s),stock.stock_location_stock
,,,,,WA102,49,Unit(s),stock.stock_location_stock
,,,,,WA101,76,Unit(s),stock.stock_location_stock
,,,,,CZL-LA011,5,Unit(s),stock.stock_location_stock
,,,,,YH-46-310,0,Unit(s),stock.stock_location_stock
,,,,,CW2210,5909,Unit(s),stock.stock_location_stock
,,,,,CW2110,5499,Unit(s),stock.stock_location_stock
,,,,,CW1310,4421,Unit(s),stock.stock_location_stock
,,,,,CW1110,4525,Unit(s),stock.stock_location_stock
,,,,,CW1210,1810,Unit(s),stock.stock_location_stock
,,,,,PD1105,1400,Unit(s),stock.stock_location_stock
,,,,,SJ210,1301,Unit(s),stock.stock_location_stock
,,,,,YH-40-P111/1,54,Unit(s),stock.stock_location_stock
,,,,,EC011711,803,Unit(s),stock.stock_location_stock
,,,,,SJ211,1147,Unit(s),stock.stock_location_stock
,,,,,SJ105,232,Unit(s),stock.stock_location_stock
,,,,,SI402,851,Unit(s),stock.stock_location_stock
,,,,,SI401,2640,Unit(s),stock.stock_location_stock
,,,,,SI403,1679,Unit(s),stock.stock_location_stock
,,,,,SJ1312,191,Unit(s),stock.stock_location_stock
,,,,,SJ512,129,Unit(s),stock.stock_location_stock
,,,,,YH-46-312,0,Unit(s),stock.stock_location_stock
,,,,,CW1312,440,Unit(s),stock.stock_location_stock
,,,,,EC011712,803,Unit(s),stock.stock_location_stock
,,,,,SJ212,1049,Unit(s),stock.stock_location_stock
,,,,,SJ9050,593,Unit(s),stock.stock_location_stock
,,,,,SB1112G,581,Unit(s),stock.stock_location_stock
,,,,,SB1112R,833,Unit(s),stock.stock_location_stock
,,,,,SB1112B,498,Unit(s),stock.stock_location_stock
,,,,,SJ1314,839,Unit(s),stock.stock_location_stock
,,,,,SJ1414,207,Unit(s),stock.stock_location_stock
,,,,,SJ514,1214,Unit(s),stock.stock_location_stock
,,,,,WB102,133,Unit(s),stock.stock_location_stock
,,,,,PN101,67,Unit(s),stock.stock_location_stock
,,,,,SJ9051,708,Unit(s),stock.stock_location_stock
,,,,,CZL-LA003,3,Unit(s),stock.stock_location_stock
,,,,,EC030233,594,Unit(s),stock.stock_location_stock
,,,,,EC030222,593,Unit(s),stock.stock_location_stock
,,,,,SJ715,1079,Unit(s),stock.stock_location_stock
,,,,,SH415,134,Unit(s),stock.stock_location_stock
,,,,,SK2157,168,กุรุส,stock.stock_location_stock
,,,,,SK2159,7.92,กุรุส,stock.stock_location_stock
,,,,,SJ516,1554,Unit(s),stock.stock_location_stock
,,,,,SJ1316,672,Unit(s),stock.stock_location_stock
,,,,,SD1216,569,Unit(s),stock.stock_location_stock
,,,,,SJ1416,200,Unit(s),stock.stock_location_stock
,,,,,EC064016,1951,Unit(s),stock.stock_location_stock
,,,,,SJ317,3295,Unit(s),stock.stock_location_stock
,,,,,SJ717,848,Unit(s),stock.stock_location_stock
,,,,,EA117,0,Unit(s),stock.stock_location_stock
,,,,,EC04BZ81,215,Unit(s),stock.stock_location_stock
,,,,,SB601,1379,Unit(s),stock.stock_location_stock
,,,,,SJ1118,0,Unit(s),stock.stock_location_stock
,,,,,SJ418,1198,Unit(s),stock.stock_location_stock
,,,,,SJ518,967,Unit(s),stock.stock_location_stock
,,,,,SJ1318,1679,Unit(s),stock.stock_location_stock
,,,,,SJ1418,202,Unit(s),stock.stock_location_stock
